session_id,time,value,peak_opacity,opacity_change_rate,significant_changes,duration,ambient_light_level,clearing_time,timestamp
,1260.0,192.0,,,,,,,
,1360.0,192.0,,,,,,,
,1461.0,240.0,,,,,,,
,1561.0,240.0,,,,,,,
,1661.0,240.0,,,,,,,
,1762.0,176.0,,,,,,,
,1862.0,192.0,,,,,,,
,1963.0,192.0,,,,,,,
,94.0,1296.0,,,,,,,
,223.0,1088.0,,,,,,,
,351.0,1072.0,,,,,,,
,480.0,1088.0,,,,,,,
,608.0,1088.0,,,,,,,
,737.0,1104.0,,,,,,,
,865.0,1088.0,,,,,,,
,993.0,1072.0,,,,,,,
,1121.0,1088.0,,,,,,,
,1250.0,1088.0,,,,,,,
,1379.0,1088.0,,,,,,,
,1507.0,1088.0,,,,,,,
,1635.0,1072.0,,,,,,,
,1764.0,1072.0,,,,,,,
,1892.0,1088.0,,,,,,,
,2021.0,1088.0,,,,,,,
,2149.0,1088.0,,,,,,,
,2277.0,1088.0,,,,,,,
,2406.0,1088.0,,,,,,,
,2534.0,1088.0,,,,,,,
,2663.0,1088.0,,,,,,,
,2791.0,1088.0,,,,,,,
,2919.0,1088.0,,,,,,,
,3048.0,1088.0,,,,,,,
,3176.0,1072.0,,,,,,,
,3305.0,1088.0,,,,,,,
,3433.0,1088.0,,,,,,,
,3562.0,1072.0,,,,,,,
,3690.0,1088.0,,,,,,,
,3818.0,1088.0,,,,,,,
,3947.0,1088.0,,,,,,,
,4075.0,1088.0,,,,,,,
,4203.0,1072.0,,,,,,,
,4332.0,1088.0,,,,,,,
,4460.0,1088.0,,,,,,,
,4588.0,1072.0,,,,,,,
,4717.0,1072.0,,,,,,,
,4845.0,1072.0,,,,,,,
,4973.0,1072.0,,,,,,,
,5102.0,1088.0,,,,,,,
,5230.0,1072.0,,,,,,,
,5358.0,1088.0,,,,,,,
,5487.0,1088.0,,,,,,,
,5615.0,1088.0,,,,,,,
,5744.0,1088.0,,,,,,,
,5872.0,1088.0,,,,,,,
,6000.0,1072.0,,,,,,,
,6129.0,1104.0,,,,,,,
,6257.0,1072.0,,,,,,,
,6386.0,1088.0,,,,,,,
,6514.0,1072.0,,,,,,,
,6643.0,1072.0,,,,,,,
,6771.0,1088.0,,,,,,,
,6899.0,1072.0,,,,,,,
,7028.0,1088.0,,,,,,,
,7156.0,1088.0,,,,,,,
,7285.0,1088.0,,,,,,,
,7413.0,1088.0,,,,,,,
,7541.0,1072.0,,,,,,,
,7670.0,1072.0,,,,,,,
,7798.0,1072.0,,,,,,,
,1.0,192.0,,,,,,,
,101.0,256.0,,,,,,,
,202.0,240.0,,,,,,,
,302.0,192.0,,,,,,,
,403.0,192.0,,,,,,,
,503.0,192.0,,,,,,,
,604.0,208.0,,,,,,,
,704.0,176.0,,,,,,,
,804.0,224.0,,,,,,,
,905.0,240.0,,,,,,,
,1005.0,240.0,,,,,,,
,1106.0,240.0,,,,,,,
,1206.0,176.0,,,,,,,
,1307.0,224.0,,,,,,,
,1407.0,240.0,,,,,,,
,1508.0,240.0,,,,,,,
,1608.0,224.0,,,,,,,
,1709.0,208.0,,,,,,,
,1809.0,240.0,,,,,,,
,1910.0,224.0,,,,,,,
,2010.0,256.0,,,,,,,
,2111.0,240.0,,,,,,,
,2211.0,192.0,,,,,,,
,2311.0,192.0,,,,,,,
,2412.0,224.0,,,,,,,
,2512.0,224.0,,,,,,,
,2613.0,240.0,,,,,,,
,2713.0,192.0,,,,,,,
,2814.0,240.0,,,,,,,
,2914.0,256.0,,,,,,,
,0.0,2592.0,,,,,,,
,133.0,2624.0,,,,,,,
,261.0,2592.0,,,,,,,
,390.0,2560.0,,,,,,,
,518.0,2576.0,,,,,,,
,647.0,2576.0,,,,,,,
,776.0,2576.0,,,,,,,
,905.0,2640.0,,,,,,,
,1033.0,2592.0,,,,,,,
,1162.0,2608.0,,,,,,,
,1290.0,2512.0,,,,,,,
,1419.0,2544.0,,,,,,,
,1547.0,2544.0,,,,,,,
,1675.0,2576.0,,,,,,,
,1804.0,2512.0,,,,,,,
,1932.0,2560.0,,,,,,,
,2061.0,2544.0,,,,,,,
,2190.0,2544.0,,,,,,,
,2318.0,2576.0,,,,,,,
,2447.0,2576.0,,,,,,,
,2575.0,2576.0,,,,,,,
,2703.0,2608.0,,,,,,,
,2832.0,2608.0,,,,,,,
,2961.0,2752.0,,,,,,,
,3089.0,2832.0,,,,,,,
,3217.0,2992.0,,,,,,,
,3346.0,3200.0,,,,,,,
,3474.0,3264.0,,,,,,,
,3603.0,3520.0,,,,,,,
